AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,FITZROY,Y,5082,,,
,,,OVINGHAM,Y,5082,,,
,,,PROSPECT,Y,5082,,,
,,,PROSPECT EAST,Y,5082,,,
,,,PROSPECT WEST,Y,5082,,,
,,,THORNGATE,Y,5082,,,
,,,BROADVIEW,Y,5083,,,
,,,NAILSWORTH,Y,5083,,,
,,,SEFTON PARK,Y,5083,,,
,,,BLAIR ATHOL,Y,5084,,,
,,,BLAIR ATHOL WEST,Y,5084,,,
,,,KILBURN,Y,5084,,,
,,,KILBURN NORTH,Y,5084,,,
,,,CLEARVIEW,Y,5085,,,
,,,ENFIELD,Y,5085,,,
,,,ENFIELD PLAZA,Y,5085,,,
,,,LIGHTSVIEW,Y,5085,,,
,,,NORTHFIELD,Y,5085,,,
,,,NORTHGATE,Y,5085,,,
,,,GILLES PLAINS,Y,5086,,,
,,,GREENACRES,Y,5086,,,
,,,HAMPSTEAD GARDENS,Y,5086,,,
,,,HILLCREST,Y,5086,,,
,,,MANNINGHAM,Y,5086,,,
,,,OAKDEN,Y,5086,,,
,,,KLEMZIG,Y,5087,,,
,,,WINDSOR GARDENS,Y,5087,,,
,,,HOLDEN HILL,Y,5088,,,
,,,HIGHBURY,Y,5089,,,
,,,HOPE VALLEY,Y,5090,,,
,,,BANKSIA PARK,Y,5091,,,
,,,TEA TREE GULLY,Y,5091,,,
,,,VISTA,Y,5091,,,
,,,MODBURY,Y,5092,,,
,,,MODBURY HEIGHTS,Y,5092,,,
,,,MODBURY NORTH,Y,5092,,,
,,,MODBURY NORTH DC,Y,5092,,,
,,,PARA VISTA,Y,5093,,,
,,,VALLEY VIEW,Y,5093,,,
,,,CAVAN,Y,5094,,,
,,,DRY CREEK,Y,5094,,,
,,,GEPPS CROSS,Y,5094,,,
,,,MAWSON LAKES,Y,5095,,,
,,,POORAKA,Y,5095,,,
,,,THE LEVELS,Y,5095,,,
,,,GULFVIEW HEIGHTS,Y,5096,,,
,,,PARA HILLS,Y,5096,,,
,,,PARA HILLS WEST,Y,5096,,,
,,,REDWOOD PARK,Y,5097,,,
,,,RIDGEHAVEN,Y,5097,,,
,,,ST AGNES,Y,5097,,,
,,,INGLE FARM,Y,5098,,,
,,,WALKLEY HEIGHTS,Y,5098,,,
,,,PARAFIELD,Y,5106,,,
,,,PARAFIELD AIRPORT,Y,5106,,,
,,,SALISBURY SOUTH,Y,5106,,,
,,,SALISBURY SOUTH BC,Y,5106,,,
,,,SALISBURY SOUTH DC,Y,5106,,,
,,,GREEN FIELDS,Y,5107,,,
,,,PARAFIELD GARDENS,Y,5107,,,
,,,PARALOWIE,Y,5108,,,
,,,SALISBURY,Y,5108,,,
,,,SALISBURY DOWNS,Y,5108,,,
,,,SALISBURY NORTH,Y,5108,,,
,,,SALISBURY NORTH WHITES ROAD,Y,5108,,,
,,,BRAHMA LODGE,Y,5109,,,
,,,SALISBURY EAST,Y,5109,,,
,,,SALISBURY EAST NORTHBRI AVE,Y,5109,,,
,,,SALISBURY HEIGHTS,Y,5109,,,
,,,SALISBURY PARK,Y,5109,,,
,,,SALISBURY PLAIN,Y,5109,,,
,,,BOLIVAR,Y,5110,,,
,,,BURTON,Y,5110,,,
,,,DIREK,Y,5110,,,
,,,GLOBE DERBY PARK,Y,5110,,,
,,,ST KILDA,Y,5110,,,
,,,WATERLOO CORNER,Y,5110,,,
,,,EDINBURGH,Y,5111,,,
,,,EDINBURGH RAAF,Y,5111,,,
,,,ELIZABETH,Y,5112,,,
,,,ELIZABETH EAST,Y,5112,,,
,,,ELIZABETH GROVE,Y,5112,,,
,,,ELIZABETH SOUTH,Y,5112,,,
,,,ELIZABETH VALE,Y,5112,,,
,,,HILLBANK,Y,5112,,,
,,,DAVOREN PARK,Y,5113,,,
,,,DAVOREN PARK NORTH,Y,5113,,,
,,,DAVOREN PARK SOUTH,Y,5113,,,
,,,EDINBURGH NORTH,Y,5113,,,
,,,ELIZABETH DOWNS,Y,5113,,,
,,,ELIZABETH NORTH,Y,5113,,,
,,,ELIZABETH PARK,Y,5113,,,
,,,ELIZABETH WEST,Y,5113,,,
,,,ELIZABETH WEST DC,Y,5113,,,
,,,ANDREWS FARM,Y,5114,,,
,,,BLAKEVIEW,Y,5114,,,
,,,CRAIGMORE,Y,5114,,,
,,,GOULD CREEK,Y,5114,,,
,,,HUMBUG SCRUB,Y,5114,,,
,,,ONE TREE HILL,Y,5114,,,
,,,SAMPSON FLAT,Y,5114,,,
,,,SMITHFIELD,Y,5114,,,
,,,SMITHFIELD PLAINS,Y,5114,,,
,,,SMITHFIELD WEST,Y,5114,,,
